,page,country,rev_id,preditcion
0,Bir I of Kanem,Chad,355319463,Stub
1,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub
2,Yos Por,Cambodia,393822005,Stub
3,Julius Gregr,Czech Republic,395521877,Stub
4,Edvard Gregr,Czech Republic,395526568,Stub
5,Robert Douglas Cook,Canada,401577829,Stub
6,List of Grand Viziers of Egypt,Egypt,442937236,Stub
7,Sehba Musharraf,Pakistan,448555418,Stub
8,Butler-Belmont family,United States,470173494,Start
9,List of Canadian incumbents by year,Canada,477962574,Stub
10,Sheikh Sadiq Ali Ansari,India,492060822,Stub
11,Cayetano Pacana,Philippines,492964343,Stub
12,Abdullah II of Kanem,Chad,498683267,Stub
13,Heard-Hawes family,United States,502721672,C
14,List of German politicians,Germany,521986779,Stub
15,Raspicious Dzanjalimodzi,Malawi,532253442,Stub
16,Manuel Antonio Blas Sáenz,Nicaragua,543225630,Stub
17,Béla Vörösmarty,Hungary,545936100,Stub
18,Presidents of the General Council of French Guiana,French Guiana,546364151,Start
19,Finn Sjue,Norway,549300521,Stub
20,Russell family (American political family),United States,550953646,Stub
21,Maximo Suniel,Philippines,559553872,Stub
22,Mihály Mikes (soldier),Hungary,559788982,Stub
23,The Man with the Chocolate Robe,Iran,560758943,Stub
24,List of Malta Labour Party leaders,Malta,561744402,Stub
25,Marquis of Amboage,Spain,564873005,Stub
26,Salmama II of Kanem,Chad,565745353,Stub
27,Kuri I of Kanem,Chad,565745365,Stub
28,Mohammed I of Kanem,Chad,565745375,Stub
29,Timoteo Menéndez,Salvadoran,566504165,Stub
30,"List of members of the parliament of Malta, 2008–13",Malta,573710096,B
31,Gervas Clay,Rhodesian,574571582,Stub
32,Samuel Nii Ayi Mankattah,Ghana,576988466,Stub
33,Hemed Khamis,Tanzania,585894477,Stub
34,Mavua Mudima,"Congo, Dem. Rep. of",592289232,Stub
35,Council of Ministers of Togo,Togo,595693452,Start
36,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start
37,Abdullah Al Nuaimi (politician),United Arab Emirates,598819900,Start
38,Zhang Zhenzhou,China,601122766,Stub
39,Feng Liao,China,601127343,Start
40,Wu Shihuo,China,614786300,Start
41,Kennedy Kiliku,Kenya,623004627,Stub
42,Kamu de Almeida,Angola,623334577,Stub
43,Hiša Marije Pomočnice,Slovenia,624468970,Stub
44,Đuro Šurmin,Croatia,625509885,Start
45,Suishō,Japan,626606789,Stub
46,Nikolai Sulima,Russia,627001041,Stub
47,Khayelihle Mathaba,South Africa,627051151,Stub
48,Vilho Turunen,Finland,627432937,Stub
49,Vihtori Aromaa,Finland,628261896,Stub
50,Jonathan Wartiovaara,Finland,628268705,Stub
51,Arvi Turkka,Finland,628270736,Stub
52,Juho Heikkinen,Finland,628312759,Stub
53,Emanuel Aromaa,Finland,628379479,Stub
54,Jukka Lankila,Finland,628563978,Stub
55,Jalmari Malmi,Finland,628619000,Stub
56,Viljo Pousi,Finland,628766656,Stub
57,Jooseppi Kauranen,Finland,628988952,Stub
58,Sardar Aurang Zeb Khan,Pakistan,629562076,Stub
59,Jeremiah Kasambala,Tanzania,629818376,Stub
60,Sofia Hjulgrén,Finland,630396351,Stub
61,Vihtori Viitanen,Finland,630396786,Stub
62,Tirso Neri,Philippines,630704768,Stub
63,Cleisthenes (son of Sibyrtius),Greece,631437331,Stub
64,Demonax (lawmaker),Greece,631581752,Start
65,List of 2009 Canadian incumbents,Canada,632008524,Start
66,"Zero, None Of The Above",United Kingdom,632261377,Stub
67,Johan Franzén (politician),Finland,632447328,Stub
68,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start
69,Liu Hongchang,China,634032715,B
70,Custos Rotulorum of County Wicklow,Ireland,635240253,Stub
71,Custos Rotulorum of County Cork,Ireland,635814126,Stub
72,Hegesippus (orator),Greece,637801253,Stub
73,Pheroze Sethna,India,638214719,Stub
74,Ibrahim Kassas,Tunisia,638362866,Stub
75,Dilip Sarkar,India,638377138,Stub
76,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016,Start
77,Gatluak Deng Garang,South Sudan,638571205,Stub
78,List of members of the National Assembly of Botswana 2009–14,Botswana,638599355,Start
79,Aliyu Ibrahim Gebi,Nigeria,639021339,Stub
80,Wang Jichang,China,639061161,Start
81,Waldemir Moka,Brazil,639471171,Stub
82,Custos Rotulorum of County Waterford,Ireland,640014648,Stub
83,Lee Ja-kyum,"Korea, South",640214913,Stub
84,Wei Huan-zi,China,640826254,Stub
85,O'Higgins Pioche,Chile,641422326,Stub
86,"List of Captains Regent of San Marino, 1500–1700",San Marino,643410335,Start
87,Eiler Grubbe,Denmark,643746000,Stub
88,"List of members of the Løgting, 1974–78",Faroese,643932216,Start
89,"List of members of the Løgting, 1978–80",Faroese,643932220,Start
90,"List of members of the Løgting, 1980–84",Faroese,643932225,Start
91,"List of members of the Løgting, 1984–88",Faroese,643932226,Start
92,"List of members of the Løgting, 1990–94",Faroese,643932239,Start
93,"List of members of the Løgting, 1994–98",Faroese,643932242,Start
94,Olli Zitting,Finland,644024203,Stub
95,Pierre Philibert de Blancheton,France,644041882,Stub
96,Luiza Xhuvani,Albania,644399375,Stub
97,Diego de Villalba y Toledo,Spain,645225697,Start
98,Jabulani Dube,Zimbabwe,645408814,Stub
99,James Bisset (mayor),Cape Colony,647367482,Start
100,Ministry of Economy and Finance (Benin),Benin,647450883,Stub
101,Gheorghe Barbu,Romania,647483021,Stub
102,Pan Yunduan,China,647832959,Stub
103,Otto Elfving,Finland,647893858,Stub
